text	label
he tries to work things out by himself.	1
he turns in his work on time.	1
help yourselves. there 's plenty.	1
he leaves the bathroom like this.	1
when he is punished he goes to his room without a fuss.	1
he sticks with the rules whether he is winning or losing.	1
he uses his own money to pay for his overdue books.	1
if you 'd like i 'll help you study your math after school.	1
he changes out of his good clothes before playing.	1
i 'm glad you could stay while mom and dad are away.	1
when he breaks a window he offers to pay for it.	1
here 's a seat leo.	1
he puts his garbage in a trash can.	1
i 'll see if aunt kate needs any errands run when i take your soup to her.	1
we can 't take the shortcut anymore.	1
he and his friends make room for others to pass.	1
i 'm glad i got mrs yin. she 's tough but you learn a lot from her.	1
he helps his mom.	1
that 's a great bear amy. thanks for showing it to me.	1
he makes sure he has all his things.	1
he is a polite listener.	1
mom there 's a phone call for you.	1
don 't let nicky 's teasing bother you. you look good in glasses.	1
he sits properly.	1
he keeps his room looking neat.	1
he waits to be called on.	1
he accepts the piece given to him.	1
i 'll have to wait a read it. i don 't have enough money to buy it now.	1
i 'm sorry we argued. can we talk about it and get back to being friends ?	1
he does his own work.	1
he leaves his muddy shoes by the door.	1
there 's lightning. we 'd better go inside.	1
he closes the door.	1
he places his used knife on his plate.	1
he buckles his seat belt as soon as he gets into the car.	1
i 'd rather be playing shortstop but coach wants me in center field.	1
he leaves when it 's time for his friend to eat.	1
i can 't play now. i 'm on my way to help my grandmother.	1
he is careful when crossing streets.	1
i left my tennis racket at larry 's house. may i borrow yours ?	1
he tries new foods.	1
it 's my fault. i shouldn 't have left my glove where towser could get it.	1
mr higgins wanted me to give this to you or dad.	1
he keeps books in good condition.	1
he accepts his parents ' decision without whining or crying.	1
he comes when he is called.	1
he leaves other people 's things alone.	1
he is ready on time.	1
he holds the plug as he removes it from the wall.	1
i 'll shovel the walk dad.	1
i 'll do it in a minute. and he remembers.	1
he eats with a fork or spoon.	1
he asks to have the butter passed to him.	1
i try to save half of the money i earn each week.	1
hey cody ! do you want to take a turn ?	1
he covers his mouth when he sneezes.	1
i studied hard. i 'm ready for the test.	1
i 'm helping to raise money for our class trip.	1
he passes the scissors safely.	1
i 'm glad i checked my calendar. i have a game tonight.	1
thanks for letting me use your ball.	1
i 've set the table. what else can i do to help ?	1
it 's too bad kyle is sick. let 's save a couple of cupcakes for him.	1
he takes other people 's property only with their permission.	1
i 'll ask mom when she is finished talking on the phone.	1
he gathers all the things he 'll need for school tomorrow.	1
he eats soup quietly.	1
this looks sloppy. i 'd better do it over.	1
we 'd better go. zack is waiting for us at the park.	1
he knows it is impolite to whisper in front of others.	1
he uses a fork to get a pickle.	1
that sounds like fun. what else did you do on your trip ?	1
he chooses a safe place to sled.	1
did you have a good time mom ?	1
i can 't go with you. i promised mom i 'd watch ashley.	1
he takes good care of his pets.	1
come here bailey ! leave that cat alone !	1
he gets enough sleep so he is fun to be with.	1
i 'll leave mom a note so she 'll know where i am.	1
this doesn 't look right. i 'd better read the directions again.	1
he eats what is served without complaining.	1
he holds the door so his mother can enter first.	1
he swims with others where it is safe.	1
we 'd better turn down the volume so our moms can talk without having to shout.	1
he puts his bat and ball in the garage.	1
sorry to break up the game but it 's time for me to head home.	1
he cleans up after he finishes a project.	1
why don 't you shoot first ?	1
he waits for everyone to come to the table before taking any food.	1
pass the box around. there are enough cookies for all of us.	1
he gets out of bed when he is called.	1
he takes good care of his books.	1
younger kids have fun when he plays with them.	1
may i borrow your red marker ?	1
he does his chores and then goes out to play.	1
boy ! i 'm glad i read the assignment again. i almost did the wrong thing.	1
he knows that if he keeps working he 'll finish the job.	1
i 'll break it then you choose your piece.	1
there are still a few weeks left before tryouts. keep practicing.	1
hi mr janson. how are you ?	1
i 'll be there in a minute. i need to put my bike someplace where it won 't be in the way.	1
he knows it is wrong to open other people 's mail without their permission.	1
he asks permission before inviting friends to eat at his home.	1
he swallows his food before he speaks.	1
he throws his gum in the trash.	1
i 'm sorry about what i said. i didn 't mean to hurt your feelings.	1
you can take my seat. i don 't mind standing.	1
may i tell her who 's calling ?	1
maybe i can earn some money and buy this myself.	1
i know a game we can play in the shallow end.	1
he walks his friends to the door and thanks them for coming.	1
this job will go faster if i water the plants in the back.	1
he gathers the things he needs for school the night before.	1
he knows it 's important to bathe regularly.	1
he talks quietly in the car.	1
when he finds a lost item he takes it to the lost and found.	1
he knows that a comb is a personal item that shouldn 't be borrowed.	1
may i take a message ?	1
i already have plans for today but maybe we can play tomorrow.	1
i 've never tried that before. i 'd like a small serving please.	1
aunt sally wrote me a letter so i 'm writing back to her.	1
he entertains himself quietly when his parents have guests.	1
he follows safety rules without complaining and he stays safe.	1
he shares the group 's supplies.	1
he holds on to his cup until he passes a trash can.	1
i don 't think we should eavesdrop. if they want to tell us they will.	1
let 's play in the backyard. we wouldn 't want the ball to hit mr blake 's car.	1
he follows the doctor 's orders so he can get well.	1
he shares some of what he has with others.	1
he takes good care of his pets.	1
they can call me whatever names they want. i 'm not doing something i know is wrong.	1
he waits until others are out of the way.	1
i 'll wait while you call lou. it 's still early and someone in his family might be sleeping.	1
he gives everyone a turn.	1
i 've been working here for a while mom. did you want to use the computer ?	1
